id,name,slug,downloads,link
1334951,Monsters&Machines,monstersandmachines,54,https://www.curseforge.com/minecraft/modpacks/monstersandmachines
1367625,BlockTopia  Age of Industry,blocktopia-age-of-industry,136,https://www.curseforge.com/minecraft/modpacks/blocktopia-age-of-industry
1319608,Stardust craft,stardust-craft,81,https://www.curseforge.com/minecraft/modpacks/stardust-craft
1124277,Interesting Industrialization!,the-g-ville-pack,1065,https://www.curseforge.com/minecraft/modpacks/the-g-ville-pack
1354451,PALSH Create With Friends,palsh-create-with-friends,39,https://www.curseforge.com/minecraft/modpacks/palsh-create-with-friends
1366153,Spelunky's GaggleCraft,spelunkys-gagglecraft,32,https://www.curseforge.com/minecraft/modpacks/spelunkys-gagglecraft
1372382,Create Whole lotta stuff,create-whole-lotta-stuff,11,https://www.curseforge.com/minecraft/modpacks/create-whole-lotta-stuff
1348919,AVN-minus,avn-minus,96,https://www.curseforge.com/minecraft/modpacks/avn-minus
1345659,CreateMons - COBBLEMON PACK,create-mons,489,https://www.curseforge.com/minecraft/modpacks/create-mons
1345351,Apocalypse Redefined 1.3 Big Update out now,apocalypse-redefined,146,https://www.curseforge.com/minecraft/modpacks/apocalypse-redefined
1371790,GamingWithFriends123,gamingwithfriends123,5,https://www.curseforge.com/minecraft/modpacks/gamingwithfriends123
1361434,Guarana Pack,guarana-pack,22,https://www.curseforge.com/minecraft/modpacks/guarana-pack
1366041,Resenha: First Steps,resenha-first-steps,57,https://www.curseforge.com/minecraft/modpacks/resenha-first-steps
1365256,Crasurion Age of Machines,crasurion-age-of-machines,21,https://www.curseforge.com/minecraft/modpacks/crasurion-age-of-machines
1333556,Brazilian SMP,brazilian-smp,73,https://www.curseforge.com/minecraft/modpacks/brazilian-smp
1371010,EM2J2Z,em2j2z,14,https://www.curseforge.com/minecraft/modpacks/em2j2z
1322599,Create: The Forgotten Design,create-the-forgotten-design,84,https://www.curseforge.com/minecraft/modpacks/create-the-forgotten-design
1365037,PLP2025,plp2025,73,https://www.curseforge.com/minecraft/modpacks/plp2025
1369307,TDLF,tdlf,11,https://www.curseforge.com/minecraft/modpacks/tdlf
834525,Better Adventures+,better-adventures-plus,1650616,https://www.curseforge.com/minecraft/modpacks/better-adventures-plus
1368356,Create + Gun real life,sanup,48,https://www.curseforge.com/minecraft/modpacks/sanup
1363360,Timochins,timochins,206,https://www.curseforge.com/minecraft/modpacks/timochins
1328035,Lost in Progress,lostinprogress,185,https://www.curseforge.com/minecraft/modpacks/lostinprogress
1347197,Homiescraft - Eternity,homiescraft-eternity,78,https://www.curseforge.com/minecraft/modpacks/homiescraft-eternity
1348424,Cobblemon Down The Kitchen Sink,cobblemon-down-the-kitchen-sink,194,https://www.curseforge.com/minecraft/modpacks/cobblemon-down-the-kitchen-sink
